catégorie	propriété CSS	valeur
Boîte	border	0.125rem solid var(--BleuFonce)
Boîte	border-radius	0
Boîte	padding	0.75rem
Couleur et fond	background-color	var(--background)
Disposition	display	flex
Disposition	flex-direction	column
Disposition	min-height	0
Disposition	display	flex
Disposition	justify-content	space-between
Disposition	align-items	center
Boîte	margin-bottom	0.5rem
Boîte	padding-bottom	0.5rem
Boîte	border-bottom	0.0625rem solid var(--BleuClair)
Typographie	font-family	'Clint Marker', cursive
Typographie	font-weight	600
Typographie	font-size	0.9rem
Couleur et fond	color	var(--BleuFonce)
Disposition	flex-shrink	0
Disposition	flex-shrink	0
Typographie	font-family	'Clint Marker', cursive
Typographie	font-family	'Clint Marker', cursive
Typographie	font-weight	500
Effets visuels	opacity	0.9
Boîte	border-color	#b91c1c
Couleur et fond	color	#b91c1c
Boîte	border-bottom-color	#b91c1c
Boîte	border-color	#15803d
Couleur et fond	color	#15803d
Boîte	border-bottom-color	#15803d
Disposition	display	flex
Disposition	flex-direction	column
Disposition	gap	0.5rem
Disposition	overflow-y	auto
Disposition	overflow-x	hidden
Disposition	max-height	50vh
Disposition	min-height	4rem
Boîte	padding	0.25rem 0.75rem
Boîte	box-sizing	border-box
Disposition	width	100%
Autre	aspect-ratio	1
Boîte	padding	0.35rem 0.5rem
Boîte	border-radius	0
Couleur et fond	background-color	#f7f7b2
Boîte	border	0.125rem solid #000
Disposition	flex-shrink	0
Effets visuels	box-shadow	0 0.125rem 0.25rem rgba(0, 0, 0, 0.1)
Disposition	overflow	hidden
Disposition	min-width	0
Disposition	max-width	100%
Boîte	box-sizing	border-box
Disposition	display	flex
Disposition	align-items	flex-start
Disposition	justify-content	flex-start
Divers	cursor	pointer
Disposition	display	block
Autre	flex	1 1 0
Disposition	min-width	0
Disposition	min-height	0
Typographie	font-family	'Clint Marker', cursive
Couleur et fond	color	#1a1a1a
Typographie	font-size	0.76rem
Typographie	line-height	1.25
Disposition	overflow	hidden
Typographie	text-overflow	ellipsis
Autre	word-wrap	break-word
Typographie	font-weight	700
Disposition	position	fixed
Disposition	top	max(80px, 8.75vh)
Disposition	bottom	max(50px, 5.47vh)
Disposition	left	0
Disposition	right	0
Autre	z-index	100
Couleur et fond	background	rgba(0, 0, 0, 0.5)
Disposition	display	flex
Disposition	align-items	center
Disposition	justify-content	center
Boîte	padding	1rem
Boîte	box-sizing	border-box
Couleur et fond	background	#f7f7b2
Boîte	border	0.125rem solid #000
Boîte	border-radius	0
Disposition	width	100%
Disposition	max-width	56rem
Disposition	max-height	100%
Disposition	display	flex
Disposition	flex-direction	column
Disposition	min-height	0
Typographie	font-family	'Clint Marker', cursive
Effets visuels	box-shadow	0 0.5rem 2rem rgba(0, 0, 0, 0.2)
Disposition	display	flex
Disposition	align-items	flex-start
Disposition	justify-content	space-between
Disposition	gap	1rem
Boîte	padding	1rem 1.25rem
Boîte	border-bottom	0.0625rem solid #000
Disposition	flex-shrink	0
Typographie	font-family	'Clint Marker', cursive
Boîte	margin	0
Typographie	font-size	1.125rem
Typographie	font-family	'Clint Marker', cursive
Couleur et fond	color	#1a1a1a
Autre	flex	1 1 auto
Disposition	min-width	0
Disposition	flex-shrink	0
Couleur et fond	background	none
Boîte	border	none
Divers	cursor	pointer
Boîte	padding	0.25rem
Couleur et fond	color	#1a1a1a
Disposition	display	flex
Disposition	align-items	center
Disposition	justify-content	center
Boîte	border-radius	0
Autre	fermer	hover { opacity: 0.8
Disposition	flex-shrink	0
Boîte	padding	0.75rem 1.25rem
Boîte	border-bottom	0.0625rem solid #000
Typographie	font-family	'Clint Marker', cursive
Disposition	overflow	hidden
Typographie	font-family	'Clint Marker', cursive
Autre	flex	1 1 auto
Disposition	min-height	0
Disposition	overflow-y	auto
Boîte	padding	1rem 1.25rem
Typographie	font-family	'Clint Marker', cursive
Typographie	font-family	'Clint Marker', cursive
Disposition	position	absolute
Disposition	bottom	1rem
Disposition	left	50%
Animation et transition	transform	translateX(-50%)
Boîte	margin	0
Typographie	font-size	0.9rem
Couleur et fond	color	var(--BleuFonce)
Disposition	min-width	2560px) { .content { max-width: 100rem
Disposition	min-width	3840px) { .content { max-width: 112.5rem
Disposition	min-width	1920px) { .content { max-width: 87.5rem
Typographie	font-size	1rem
Typographie	font-size	1.125rem
Typographie	font-size	1.05rem
Typographie	font-size	1rem
Boîte	margin	1rem 0
Couleur et fond	background-color	white
Boîte	padding	1rem
Boîte	border-radius	4px
Boîte	margin	1rem 0
Boîte	margin-bottom	1rem
Boîte	border	1px solid #e0e0e0
Boîte	border-radius	8px
Disposition	overflow	visible
Couleur et fond	background-color	#ffffff
Effets visuels	box-shadow	0 2px 4px rgba(0, 0, 0, 0.05)
Disposition	width	100%
Disposition	display	flex
Disposition	align-items	center
Disposition	justify-content	space-between
Boîte	padding	1rem 1.5rem
Couleur et fond	background-color	#ffffff
Boîte	border	none
Divers	cursor	pointer
Animation et transition	transition	background-color 0.2s ease
Typographie	text-align	left
Autre	journalHeader	hover { background-color: #f5f5f5
Autre	journalHeader	focus { outline: 2px solid var(--BleuFonce)
Boîte	outline-offset	'-2px
Typographie	font-size	1.25rem
Boîte	margin	0
Couleur et fond	color	var(--BleuFonce)
Typographie	font-family	var(--font-sans)
Typographie	font-weight	600
Autre	flex	1
Boîte	border-bottom	none
Boîte	padding-bottom	0
Disposition	width	20px
Disposition	height	20px
Couleur et fond	color	var(--BleuFonce)
Disposition	flex-shrink	0
Animation et transition	transition	transform 0.2s ease
Disposition	overflow	visible
Animation et transition	transition	opacity 0.2s ease-out
Disposition	max-height	0
Effets visuels	opacity	0
Disposition	overflow	hidden
Disposition	max-height	none
Effets visuels	opacity	1
Disposition	overflow	visible
Boîte	padding	0 1.5rem 1.5rem 1.5rem
Boîte	margin-bottom	1.5rem
Boîte	border	1px solid #e0e0e0
Boîte	border-radius	8px
Disposition	overflow	hidden
Couleur et fond	background-color	#ffffff
Effets visuels	box-shadow	0 2px 4px rgba(0, 0, 0, 0.05)
Disposition	width	100%
Disposition	display	flex
Disposition	align-items	center
Disposition	justify-content	space-between
Boîte	padding	1.5rem
Couleur et fond	background-color	#ffffff
Boîte	border	none
Divers	cursor	pointer
Animation et transition	transition	background-color 0.2s ease
Typographie	text-align	left
Autre	accordionHeader	hover { background-color: #f5f5f5
Autre	accordionHeader	focus { outline: 2px solid var(--BleuFonce)
Boîte	outline-offset	'-2px
Typographie	font-size	1.75rem
Boîte	margin	0
Couleur et fond	color	var(--BleuFonce)
Typographie	font-family	var(--font-sans)
Typographie	font-weight	600
Autre	flex	1
Disposition	width	24px
Disposition	height	24px
Couleur et fond	color	var(--BleuFonce)
Disposition	flex-shrink	0
Animation et transition	transition	transform 0.2s ease
Disposition	overflow	hidden
Animation et transition	transition	max-height 0.3s ease-out, opacity 0.2s ease-out
Disposition	max-height	0
Effets visuels	opacity	0
Disposition	max-height	10000px
Effets visuels	opacity	1
Boîte	padding	0 1.5rem 1.5rem 1.5rem
Boîte	margin	0.5rem 0 !important
Boîte	margin-left	35px !important
Couleur et fond	background-color	var(--BleuClair)
Boîte	padding	1rem
Boîte	border-radius	4px
Boîte	margin	0.5rem 0 !important
Boîte	margin-left	35px !important
Couleur et fond	background-color	white
Boîte	padding	1rem
Boîte	border-radius	4px
Boîte	margin	0.5rem 0 !important
Boîte	margin-left	35px !important
Boîte	margin	0.5rem 0 !important
Typographie	line-height	1.6
Typographie	font-size	0.9rem
Boîte	margin	0.5rem 0 !important
Boîte	margin-left	40px !important
Boîte	padding-left	1.5rem !important
Divers	list-style-type	disc !important
Divers	list-style-position	outside !important
Typographie	font-size	0.9rem
Divers	list-style-type	decimal !important
Boîte	margin	0.25rem 0 !important
Typographie	line-height	1.5
Disposition	display	list-item !important
Boîte	margin	0.25rem 0 !important
Boîte	margin-left	35px !important
Boîte	padding-left	1.5rem !important
Divers	list-style-type	disc !important
Divers	list-style-position	outside !important
Typographie	font-size	0.9rem
Typographie	line-height	1.5
Boîte	margin-top	0.5rem !important
Disposition	display	list-item !important
Boîte	margin	0.5rem 0 !important
Boîte	margin	0.75rem 0 0.5rem 0 !important
Boîte	margin-left	35px !important
Boîte	padding-left	1.5rem !important
Divers	list-style-type	disc !important
Divers	list-style-position	outside !important
Typographie	font-size	0.9rem
Typographie	line-height	1.5
Disposition	display	list-item !important
Typographie	font-weight	700
Boîte	margin	0.25rem 0 !important
Boîte	margin-left	55px !important
Boîte	padding-left	1.5rem !important
Divers	list-style-type	circle !important
Divers	list-style-position	outside !important
Typographie	font-size	0.9rem
Typographie	line-height	1.5
Disposition	display	list-item !important
Typographie	font-weight	400
Couleur et fond	color	inherit
Disposition	display	inline-block
Typographie	vertical-align	middle
Disposition	max-width	100%
Disposition	height	auto
Boîte	margin	0 0.25rem
Boîte	margin	1rem 0
Typographie	text-align	center
Disposition	max-width	100%
Disposition	height	auto
Boîte	border-radius	4px
Effets visuels	box-shadow	0 2px 4px rgba(0, 0, 0, 0.1)
Boîte	margin	1rem 0
Boîte	margin-bottom	1rem
Boîte	border	1px solid #e0e0e0
Boîte	border-radius	8px
Disposition	overflow	hidden
Couleur et fond	background-color	#ffffff
Effets visuels	box-shadow	0 2px 4px rgba(0, 0, 0, 0.05)
Disposition	width	100%
Disposition	display	flex
Disposition	align-items	center
Disposition	justify-content	space-between
Boîte	padding	1rem 1.5rem
Couleur et fond	background-color	#ffffff
Boîte	border	none
Divers	cursor	pointer
Animation et transition	transition	background-color 0.2s ease
Typographie	text-align	left
Autre	courseHeader	hover { background-color: #f5f5f5
Autre	courseHeader	focus { outline: 2px solid var(--BleuFonce)
Boîte	outline-offset	'-2px
Typographie	font-size	1.25rem
Boîte	margin	0
Couleur et fond	color	var(--BleuFonce)
Typographie	font-family	var(--font-sans)
Typographie	font-weight	600
Autre	flex	1
Boîte	border-bottom	none
Boîte	padding-bottom	0
Disposition	width	20px
Disposition	height	20px
Couleur et fond	color	var(--BleuFonce)
Disposition	flex-shrink	0
Animation et transition	transition	transform 0.2s ease
Disposition	overflow	hidden
Animation et transition	transition	max-height 0.3s ease-out, opacity 0.2s ease-out
Disposition	max-height	0
Effets visuels	opacity	0
Disposition	max-height	10000px
Effets visuels	opacity	1
Boîte	padding	0 1.5rem 1.5rem 1.5rem
Typographie	line-height	1.6
Couleur et fond	color	#444
Typographie	font-size	1rem
Typographie	font-size	2rem
Boîte	margin	1.5rem 0 1rem 0
Couleur et fond	color	var(--BleuFonce)
Typographie	font-family	'Outfit', sans-serif
Boîte	border-bottom	3px solid var(--BleuFonce)
Boîte	padding-bottom	0.5rem
Typographie	font-weight	700
Typographie	letter-spacing	'-0.02em
Typographie	font-size	1.5rem
Boîte	margin	2rem 0 1rem 0
Couleur et fond	color	var(--BleuFonce)
Typographie	font-family	'Outfit', sans-serif
Boîte	border-bottom	2px solid var(--BleuFonce)
Boîte	padding-bottom	0.5rem
Typographie	font-weight	700
Typographie	letter-spacing	'-0.02em
Boîte	margin-top	0
Typographie	font-size	1.25rem
Boîte	margin	1.5rem 0 0.75rem 0
Couleur et fond	color	#1a1a1a
Typographie	font-family	'Outfit', sans-serif
Typographie	font-weight	600
Typographie	letter-spacing	'-0.01em
Typographie	font-size	1.1rem
Boîte	margin	1rem 0 0.5rem 0
Couleur et fond	color	var(--BleuFonce)
Typographie	font-family	'Outfit', sans-serif
Typographie	font-weight	600
Typographie	letter-spacing	'-0.01em
Typographie	font-size	1rem
Boîte	margin	0.8rem 0 0.4rem 0
Couleur et fond	color	#666
Typographie	font-family	'Outfit', sans-serif
Typographie	font-weight	600
Boîte	margin	0
Boîte	margin-top	0.4em
Boîte	padding	0
Typographie	line-height	1.4
Couleur et fond	color	#444
Typographie	font-size	1rem
Boîte	margin-top	0.4em
Divers	list-style	disc
Boîte	margin-left	1.5rem
Boîte	margin-top	0.4em
Boîte	margin-bottom	0.8rem
Boîte	padding-left	0
Boîte	margin-bottom	0.4rem
Typographie	line-height	1.4
Boîte	padding-left	0.3em
Divers	list-style-position	outside
Disposition	position	relative
Autre	li	:before { display: none !important
Divers	content	none !important
Divers	list-style	disc
Boîte	margin-left	1.5rem
Boîte	margin-top	0.4em
Boîte	margin-bottom	0.8rem
Boîte	padding-left	0
Boîte	margin-bottom	0.4rem
Typographie	line-height	1.4
Boîte	padding-left	0.3em
Divers	list-style-position	outside
Disposition	position	relative
Autre	li	:before { display: none !important
Divers	content	none !important
Typographie	font-size	0.9rem
Boîte	margin	0.7rem 0 0.3rem 0
Couleur et fond	color	#666
Typographie	font-family	'Outfit', sans-serif
Typographie	font-weight	600
Boîte	margin	1rem 0
Boîte	padding	0.5rem 1rem
Boîte	border-left	3px solid var(--BleuFonce)
Couleur et fond	background-color	#f5f5f5
Typographie	font-style	italic
Couleur et fond	color	#555
Couleur et fond	background-color	#f5f5f5
Boîte	border	1px solid #ddd
Boîte	border-radius	4px
Boîte	padding	1rem
Disposition	overflow-x	auto
Boîte	margin	1rem 0
Typographie	font-family	'Courier New', monospace
Typographie	font-size	0.9rem
Couleur et fond	color	#333
Boîte	border	none
Boîte	border-top	2px solid #e0e0e0
Boîte	margin	2rem 0
Couleur et fond	color	var(--BleuFonce)
Typographie	font-weight	600
Typographie	font-style	italic
Boîte	margin	0.5rem 0 !important
Boîte	margin-left	35px !important
Couleur et fond	background-color	var(--BleuClair)
Boîte	padding	1rem
Boîte	border-radius	4px
Typographie	line-height	1.5
Couleur et fond	color	#333
Typographie	font-size	0.95rem
Boîte	margin	0
Boîte	margin-top	0.4em
Boîte	padding	0
Typographie	line-height	1.4
Divers	list-style	disc !important
Divers	list-style-position	outside !important
Boîte	margin-left	1rem !important
Boîte	margin-top	0.4em !important
Boîte	padding-left	0 !important
Boîte	margin-bottom	0.2em !important
Typographie	line-height	1.3 !important
Divers	list-style-position	outside !important
Disposition	display	list-item !important
Boîte	padding-left	0.5em !important
Boîte	margin-left	0 !important
Disposition	position	relative !important
Autre	li	:before, .simpleMarkdownContent li::after { display: none !important
Divers	content	none !important
Effets visuels	visibility	hidden !important
Boîte	margin-bottom	1rem
Disposition	display	flex
Disposition	align-items	center
Disposition	justify-content	space-between
Disposition	width	100%
Couleur et fond	background	none
Boîte	border	none
Divers	cursor	pointer
Boîte	padding	0
Typographie	text-align	left
Couleur et fond	color	var(--foreground)
Animation et transition	transition	opacity 0.2s
Effets visuels	opacity	0.8
Boîte	outline	2px solid var(--BleuFonce)
Boîte	outline-offset	2px
Boîte	border-radius	4px
Typographie	font-size	1.2rem
Typographie	font-weight	700
Boîte	margin	0
Couleur et fond	color	var(--foreground)
Typographie	font-size	1.05rem
Typographie	font-weight	600
Boîte	margin	0
Boîte	margin-left	10px
Couleur et fond	color	var(--foreground)
Disposition	width	1.25rem
Disposition	height	1.25rem
Disposition	flex-shrink	0
Boîte	margin-left	0.5rem
Animation et transition	transition	transform 0.2s
Couleur et fond	color	var(--foreground)
Disposition	overflow	visible
Animation et transition	transition	opacity 0.2s ease-out
Disposition	max-height	0
Effets visuels	opacity	0
Disposition	overflow	hidden
Disposition	max-height	none
Effets visuels	opacity	1
Disposition	overflow	visible
Boîte	padding-top	0.75rem
Boîte	padding-left	0
Boîte	padding-left	10px
Disposition	min-height	calc(100vh - max(80px, 8.75vh) - 60px)
Boîte	margin-top	max(80px, 8.75vh)
Boîte	padding	1.25rem
Couleur et fond	background-color	var(--background)
Couleur et fond	color	var(--foreground)
Disposition	width	100%
Disposition	max-width	var(--largeurDeTexteMax, 78.125rem)
Boîte	margin-left	auto
Boîte	margin-right	auto
Boîte	margin-top	1.25rem
Disposition	display	flex
Disposition	flex-direction	column
Disposition	align-items	center
Disposition	justify-content	center
Typographie	text-align	center
Boîte	padding	3.75rem 1.25rem
Disposition	min-height	25rem
Disposition	gap	1.875rem
Couleur et fond	color	var(--BleuFonce)
Animation et transition	animation	bounce 2s infinite
Animation et transition	transform	translateY(0)
Animation et transition	transform	translateY(-10px)
Typographie	font-size	2.5rem
Couleur et fond	color	var(--BleuFonce)
Boîte	margin	0
Typographie	font-weight	bold
Typographie	font-size	1.2rem
Typographie	line-height	1.8
Couleur et fond	color	var(--foreground)
Disposition	max-width	600px
Boîte	margin	0
Disposition	min-width	1920px) { .maintenancePage { max-width: 87.5rem
Boîte	padding	1.875rem
Typographie	font-size	3rem
Typographie	font-size	1.4rem
Disposition	max-width	43.75rem
Variables CSS	--assistant-base	clamp(1rem, 0.5rem + 0.5vw, 2.5rem)
Typographie	font-size	var(--assistant-base)
Disposition	display	flex
Disposition	flex-direction	column
Disposition	gap	1.5em
Boîte	padding	1.25em
Disposition	max-width	var(--largeurDeTexteMax, 78.125em)
Boîte	margin	0 auto
Boîte	margin-bottom	1em
Boîte	padding-bottom	1em
Boîte	border-bottom	0.125em solid var(--BleuClair)
Boîte	margin	0
Typographie	font-size	1.75em
Couleur et fond	color	var(--foreground)
Disposition	display	grid
Disposition	grid-template-columns	1fr 17.5em
Disposition	gap	1.5em
Disposition	max-width	900px) { .layout { grid-template-columns: 1fr
Disposition	display	flex
Disposition	flex-direction	column
Disposition	gap	0.75em
Typographie	font-size	1.1em
Typographie	font-weight	600
Couleur et fond	color	var(--foreground)
Boîte	margin	0
Disposition	display	flex
Disposition	flex-direction	column
Disposition	gap	0.75em
Disposition	justify-content	center
Disposition	align-items	center
Disposition	display	flex
Disposition	flex-direction	row
Disposition	flex-wrap	nowrap
Disposition	gap	0.75em
Disposition	justify-content	center
Disposition	align-items	center
Disposition	display	grid
Disposition	grid-template-columns	1fr 1fr
Disposition	gap	1em
Disposition	justify-items	center
Disposition	display	flex
Disposition	flex-direction	column
Disposition	gap	0.75em
Disposition	align-items	center
Disposition	width	100%
Disposition	flex-direction	column
Disposition	align-items	center
Disposition	max-width	768px) { .planSection .ligne2.zoneProfils { flex-direction: column
Disposition	grid-template-columns	1fr
Disposition	display	flex
Disposition	flex-wrap	wrap
Disposition	gap	0.375em
Divers	list-style	none
Boîte	margin	0
Boîte	padding	0
Boîte	margin	0
Boîte	padding	0
Disposition	display	inline-block
Disposition	min-width	8.75em
Disposition	max-width	8.75em
Disposition	min-height	2.6em
Boîte	padding	0.25em 0.5em
Boîte	border-radius	0.25em
Typographie	font-size	0.8em
Typographie	line-height	1.25
Typographie	text-align	center
Typographie	white-space	normal
Autre	word-break	break-word
Couleur et fond	background-color	var(--BleuFonce)
Couleur et fond	color	white
Typographie	font-weight	600
Divers	cursor	default
Boîte	border	0.125em solid var(--BleuFonce)
Couleur et fond	background-color	var(--BleuClair)
Couleur et fond	color	var(--BleuFonce)
Typographie	font-weight	500
Divers	cursor	pointer
Boîte	border	0.125em solid var(--BleuFonce)
Animation et transition	transition	transform 0.15s, box-shadow 0.15s
Autre	pageAccessible	hover { transform: scale(1.02)
Effets visuels	box-shadow	0 0.125em 0.5em rgba(0, 0, 0, 0.15)
Couleur et fond	background-color	var(--background)
Couleur et fond	color	var(--foreground)
Effets visuels	opacity	0.6
Divers	cursor	not-allowed
Boîte	border	0.0625em solid var(--foreground)
Disposition	display	flex
Disposition	flex-direction	column
Disposition	gap	1em
Disposition	display	flex
Disposition	flex-wrap	wrap
Disposition	gap	0.5em
Boîte	margin	0 0 0.5em 0
Boîte	padding	0.375em 0.75em
Boîte	border-radius	0.25em
Typographie	font-size	0.85em
Typographie	font-weight	500
Divers	cursor	pointer
Boîte	border	0.125em solid var(--BleuFonce)
Animation et transition	transition	background-color 0.2s, color 0.2s
Boîte	border	0.125em solid var(--BleuClair)
Boîte	border-radius	0.5em
Boîte	padding	0.625em
Couleur et fond	background-color	var(--background)
Disposition	display	flex
Disposition	flex-direction	column
Disposition	min-height	0
Typographie	font-size	0.9em
Typographie	font-weight	600
Couleur et fond	color	var(--BleuFonce)
Boîte	margin	0 0 0.375em 0
Disposition	flex-shrink	0
Disposition	overflow-y	auto
Disposition	max-height	12.5em
Autre	flex	1 1 auto
Disposition	min-height	0
Divers	list-style	none
Boîte	margin	0
Boîte	padding	0
Typographie	font-size	0.8em
Couleur et fond	color	var(--foreground)
Boîte	padding	0.1875em 0
Boîte	border-bottom	0.0625em solid rgba(255, 255, 255, 0.1)
Autre	li	last-child { border-bottom: none
Couleur et fond	background-color	var(--BleuFonce)
Couleur et fond	color	white
Autre	buttonPrimary	hover:not(:disabled) { background-color: var(--BleuClair)
Couleur et fond	color	var(--BleuFonce)
Autre	buttonPrimary	disabled { opacity: 0.5
Divers	cursor	not-allowed
Couleur et fond	background-color	transparent
Couleur et fond	color	var(--BleuFonce)
Autre	buttonSecondary	hover { background-color: var(--BleuClair)
Couleur et fond	color	var(--BleuFonce)
Boîte	padding	2.5em
Typographie	text-align	center
Couleur et fond	color	var(--foreground)
Boîte	padding	1.25em
Couleur et fond	color	#c00
Boîte	border	0.0625em solid #c00
Boîte	border-radius	0.5em
Disposition	position	fixed
Disposition	top	0
Disposition	left	0
Disposition	right	0
Disposition	bottom	0
Couleur et fond	background-color	rgba(0, 0, 0, 0.5)
Disposition	display	flex
Disposition	align-items	center
Disposition	justify-content	center
Autre	z-index	10000
Couleur et fond	background-color	white
Boîte	padding	2rem
Boîte	border-radius	8px
Effets visuels	box-shadow	0 4px 6px rgba(0, 0, 0, 0.1)
Disposition	min-width	300px
Disposition	max-width	400px
Boîte	margin	0 0 1.5rem 0
Typographie	font-size	1.5rem
Couleur et fond	color	var(--BleuFonce)
Disposition	display	block
Boîte	margin-bottom	0.5rem
Typographie	font-weight	600
Couleur et fond	color	var(--foreground)
Disposition	width	100%
Boîte	padding	0.75rem
Boîte	border	2px solid #000000
Boîte	border-radius	4px
Typographie	font-size	1rem
Boîte	margin-bottom	1rem
Boîte	box-sizing	border-box
Autre	passwordModalInput	focus { outline: none
Boîte	border-color	var(--BleuFonce)
Couleur et fond	color	red
Boîte	margin	0 0 1rem 0
Typographie	font-size	0.9rem
Disposition	display	flex
Disposition	gap	1rem
Disposition	justify-content	flex-end
Boîte	padding	0.75rem 1.5rem
Couleur et fond	background-color	var(--BleuFonce)
Couleur et fond	color	white
Boîte	border	none
Boîte	border-radius	4px
Typographie	font-weight	600
Divers	cursor	pointer
Animation et transition	transition	opacity 0.2s
Autre	passwordModalSubmitButton	hover:not(:disabled) { opacity: 0.9
Autre	passwordModalSubmitButton	disabled { opacity: 0.5
Divers	cursor	not-allowed
Boîte	padding	0.75rem 1.5rem
Couleur et fond	background-color	#ccc
Couleur et fond	color	var(--foreground)
Boîte	border	none
Boîte	border-radius	4px
Typographie	font-weight	600
Divers	cursor	pointer
Animation et transition	transition	opacity 0.2s
Autre	passwordModalCancelButton	hover:not(:disabled) { opacity: 0.8
Autre	passwordModalCancelButton	disabled { opacity: 0.5
Divers	cursor	not-allowed
Disposition	min-height	100vh
Boîte	padding-top	105px !important
Boîte	padding-left	2rem
Boîte	padding-right	2rem
Boîte	padding-bottom	2rem
Couleur et fond	background	linear-gradient(135deg, var(--BleuClair) 0%, var(--BleuFonce) 100%)
Disposition	max-width	87.5rem
Boîte	margin	0 auto
Disposition	width	100%
Couleur et fond	background	white
Boîte	border-radius	1rem
Boîte	padding	2rem
Boîte	margin-bottom	2rem
Effets visuels	box-shadow	0 0.25rem 0.375rem rgba(0, 0, 0, 0.1)
Typographie	font-size	2.5rem
Typographie	font-weight	700
Boîte	margin	0 0 1rem 0
Couleur et fond	color	#2d3748
Disposition	display	flex
Disposition	gap	2rem
Disposition	flex-wrap	wrap
Typographie	font-size	0.9rem
Couleur et fond	color	#718096
Couleur et fond	background	#edf2f7
Boîte	padding	0.5rem 1rem
Boîte	border-radius	8px
Couleur et fond	background	white
Boîte	border-radius	16px
Boîte	padding	2rem
Boîte	margin-bottom	2rem
Effets visuels	box-shadow	0 4px 6px rgba(0, 0, 0, 0.1)
Disposition	position	relative
Autre	z-index	0
Typographie	font-size	1.5rem
Typographie	font-weight	600
Boîte	margin	0 0 1.5rem 0
Couleur et fond	color	#2d3748
Disposition	display	grid
Disposition	grid-template-columns	repeat(auto-fit, minmax(250px, 1fr))
Disposition	gap	1.5rem
Disposition	display	grid
Disposition	grid-template-columns	repeat(5, minmax(0, 1fr))
Disposition	gap	1.5rem
Disposition	width	100%
Couleur et fond	background	linear-gradient(135deg, var(--BleuFonce) 0%, #005a99 100%)
Boîte	border-radius	0.75rem
Boîte	padding	1.5rem
Couleur et fond	color	white
Animation et transition	transition	box-shadow 0.2s
Disposition	min-width	0
Autre	z-index	0
Autre	card	hover { box-shadow: 0 8px 25px rgba(0, 0, 0, 0.2)
Autre	z-index	0
Disposition	display	flex
Disposition	align-items	center
Disposition	justify-content	space-between
Disposition	gap	0.5rem
Boîte	margin-bottom	0.5rem
Typographie	font-size	0.8rem
Typographie	font-weight	500
Boîte	margin	0
Effets visuels	opacity	0.9
Typographie	text-transform	uppercase
Typographie	letter-spacing	0.5px
Autre	flex	1
Typographie	line-height	1.3
Typographie	font-size	1rem
Effets visuels	opacity	0.8
Animation et transition	transition	opacity 0.2s ease, transform 0.2s ease
Divers	cursor	help
Boîte	padding	2px
Boîte	border-radius	50%
Disposition	display	flex
Disposition	align-items	center
Disposition	justify-content	center
Disposition	min-width	20px
Disposition	min-height	20px
Autre	infoIcon	hover { opacity: 1
Animation et transition	transform	scale(1.1)
Couleur et fond	background	rgba(255, 255, 255, 0.2)
Autre	infoIcon	focus { opacity: 1
Animation et transition	transform	scale(1.1)
Couleur et fond	background	rgba(255, 255, 255, 0.2)
Boîte	outline	2px solid rgba(255, 255, 255, 0.6)
Boîte	outline-offset	2px
Typographie	font-size	2.5rem
Typographie	font-weight	700
Boîte	margin	0 0 0.5rem 0
Disposition	display	flex
Disposition	align-items	center
Disposition	gap	0.5rem
Typographie	font-size	0.85rem
Boîte	margin	0
Effets visuels	opacity	0.8
Couleur et fond	background	linear-gradient(135deg, var(--BleuFonce) 0%, #005a99 100%)
Boîte	border-radius	12px
Boîte	padding	1.5rem
Couleur et fond	color	white
Animation et transition	transition	box-shadow 0.2s
Disposition	min-width	0
Disposition	display	flex
Disposition	flex-direction	column
Disposition	gap	1rem
Autre	z-index	0
Autre	testCard	hover { box-shadow: 0 8px 25px rgba(0, 0, 0, 0.2)
Autre	z-index	0
Typographie	font-size	0.8rem
Typographie	font-weight	500
Boîte	margin	0
Effets visuels	opacity	0.9
Typographie	text-transform	uppercase
Typographie	letter-spacing	0.5px
Typographie	line-height	1.3
Typographie	font-size	2.5rem
Typographie	font-weight	700
Boîte	margin	0
Disposition	display	flex
Disposition	align-items	center
Disposition	gap	0.5rem
Disposition	display	flex
Disposition	align-items	center
Disposition	gap	0.75rem
Autre	flex	1
Disposition	height	1.25rem
Couleur et fond	background	rgba(255, 255, 255, 0.2)
Boîte	border-radius	0.625rem
Disposition	overflow	hidden
Disposition	height	100%
Animation et transition	transition	width 0.3s ease
Boîte	border-radius	10px
Typographie	font-size	0.85rem
Typographie	font-weight	600
Disposition	min-width	45px
Typographie	text-align	right
Disposition	display	flex
Disposition	flex-direction	column
Disposition	gap	0.5rem
Boîte	margin-top	0.5rem
Boîte	padding-top	0.75rem
Boîte	border-top	1px solid rgba(255, 255, 255, 0.2)
Disposition	display	flex
Disposition	justify-content	space-between
Disposition	align-items	center
Typographie	font-size	0.85rem
Effets visuels	opacity	0.85
Typographie	font-weight	600
Effets visuels	opacity	1
Typographie	font-size	1.5rem
Boîte	margin-left	0.5rem
Couleur et fond	color	#48bb78
Couleur et fond	color	#f56565
Couleur et fond	color	#a0aec0
Disposition	display	flex
Disposition	flex-direction	column
Disposition	gap	1.5rem
Boîte	margin-bottom	1rem
Disposition	width	100%
Disposition	display	flex
Disposition	justify-content	space-between
Boîte	margin-bottom	0.5rem
Typographie	font-size	0.9rem
Typographie	font-weight	500
Couleur et fond	color	#4a5568
Disposition	width	100%
Disposition	height	1.5rem
